Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
71820 ACD/HCP4,100.0,125.0,13.0,21.2,27.5,0.8,10000.0,15000.0
71820 ACD/P4,100.0,125.0,13.0,21.2,27.5,1.1,8500.0,13000.0
71820 CD/HCP4,100.0,125.0,13.0,22.5,29.0,0.85,11000.0,17000.0
71820 CD/P4,100.0,125.0,13.0,22.5,29.0,1.16,9000.0,14000.0
71920 ACB/HCP4A,100.0,140.0,20.0,20.3,21.2,0.6,13000.0,20000.0
71920 ACB/HCP4AL,100.0,140.0,20.0,20.3,21.2,0.6,13000.0,20000.0
S71920 ACB/HCP4A,100.0,140.0,20.0,20.3,21.2,0.6,13000.0,
71920 ACB/P4A,100.0,140.0,20.0,20.3,21.2,0.815,11000.0,17000.0
71920 ACB/P4AL,100.0,140.0,20.0,20.3,21.2,0.815,11000.0,17000.0
S71920 ACB/P4A,100.0,140.0,20.0,20.3,21.2,0.815,11000.0,
71920 CB/HCP4A,100.0,140.0,20.0,21.6,22.4,0.63,15000.0,24000.0
71920 CB/HCP4AL,100.0,140.0,20.0,21.6,22.4,0.63,15000.0,24000.0
S71920 CB/HCP4A,100.0,140.0,20.0,21.6,22.4,0.63,15000.0,
71920 CB/P4A,100.0,140.0,20.0,21.6,22.4,0.865,12000.0,19000.0
71920 CB/P4AL,100.0,140.0,20.0,21.6,22.4,0.865,12000.0,19000.0
S71920 CB/P4A,100.0,140.0,20.0,21.6,22.4,0.865,12000.0,
71920 ACE/P4A,100.0,140.0,20.0,36.4,30.0,1.14,11500.0,18000.0
71920 ACE/P4AH1,100.0,140.0,20.0,36.4,30.0,1.14,11500.0,18000.0
71920 ACE/P4AL,100.0,140.0,20.0,36.4,30.0,1.14,11500.0,18000.0
S71920 ACE/P4A,100.0,140.0,20.0,36.4,30.0,1.14,11500.0,
71920 ACE/HCP4A,100.0,140.0,20.0,36.4,30.0,1.14,13700.0,22000.0
71920 ACE/HCP4AH1,100.0,140.0,20.0,36.4,30.0,1.14,13700.0,22000.0
71920 ACE/HCP4AL,100.0,140.0,20.0,36.4,30.0,1.14,13700.0,22000.0
S71920 ACE/HCP4A,100.0,140.0,20.0,36.4,30.0,1.14,13700.0,
71920 CE/P4A,100.0,140.0,20.0,39.0,31.5,1.2,13300.0,20500.0
71920 CE/P4AH1,100.0,140.0,20.0,39.0,31.5,1.2,13300.0,20500.0
71920 CE/P4AL,100.0,140.0,20.0,39.0,31.5,1.2,13300.0,20500.0
S71920 CE/P4A,100.0,140.0,20.0,39.0,31.5,1.2,13300.0,
71920 CE/HCP4A,100.0,140.0,20.0,39.0,31.5,1.2,15500.0,24000.0
71920 CE/HCP4AH1,100.0,140.0,20.0,39.0,31.5,1.2,15500.0,24000.0
71920 CE/HCP4AL,100.0,140.0,20.0,39.0,31.5,1.2,15500.0,24000.0
S71920 CE/HCP4A,100.0,140.0,20.0,39.0,31.5,1.2,15500.0,
71920 ACD/HCP4A,100.0,140.0,20.0,57.2,63.0,1.76,9000.0,15000.0
71920 ACD/HCP4AH1,100.0,140.0,20.0,57.2,63.0,1.76,9000.0,15000.0
71920 ACD/HCP4AL,100.0,140.0,20.0,57.2,63.0,1.76,9000.0,15000.0
S71920 ACD/HCP4A,100.0,140.0,20.0,57.2,63.0,1.76,9000.0,
71920 ACD/P4A,100.0,140.0,20.0,57.2,63.0,2.4,8000.0,13000.0
71920 ACD/P4AH1,100.0,140.0,20.0,57.2,63.0,2.4,8000.0,13000.0
71920 ACD/P4AL,100.0,140.0,20.0,57.2,63.0,2.4,8000.0,13000.0
S71920 ACD/P4A,100.0,140.0,20.0,57.2,63.0,2.4,8000.0,
71920 CD/HCP4A,100.0,140.0,20.0,60.5,65.5,1.86,11000.0,17000.0
71920 CD/HCP4AH1,100.0,140.0,20.0,60.5,65.5,1.86,11000.0,17000.0
71920 CD/HCP4AL,100.0,140.0,20.0,60.5,65.5,1.86,11000.0,17000.0
S71920 CD/HCP4A,100.0,140.0,20.0,60.5,65.5,1.86,11000.0,
71920 CD/P4A,100.0,140.0,20.0,60.5,65.5,2.55,8500.0,14000.0
71920 CD/P4AH1,100.0,140.0,20.0,60.5,65.5,2.55,8500.0,14000.0
71920 CD/P4AL,100.0,140.0,20.0,60.5,65.5,2.55,8500.0,14000.0
S71920 CD/P4A,100.0,140.0,20.0,60.5,65.5,2.55,8500.0,
7020 ACB/HCP4A,100.0,150.0,24.0,28.1,25.5,0.71,12000.0,18000.0
7020 ACB/HCP4AL,100.0,150.0,24.0,28.1,25.5,0.71,12000.0,18000.0
S7020 ACB/HCP4A,100.0,150.0,24.0,28.1,25.5,0.71,12000.0,
7020 ACB/P4A,100.0,150.0,24.0,28.1,25.5,0.98,10000.0,15000.0
7020 ACB/P4AL,100.0,150.0,24.0,28.1,25.5,0.98,10000.0,15000.0
S7020 ACB/P4A,100.0,150.0,24.0,28.1,25.5,0.98,10000.0,
7020 CB/HCP4A,100.0,150.0,24.0,29.6,27.0,0.75,13000.0,20000.0
7020 CB/HCP4AL,100.0,150.0,24.0,29.6,27.0,0.75,13000.0,20000.0
S7020 CB/HCP4A,100.0,150.0,24.0,29.6,27.0,0.75,13000.0,
7020 CB/P4A,100.0,150.0,24.0,29.6,27.0,1.02,11000.0,17000.0
7020 CB/P4AL,100.0,150.0,24.0,29.6,27.0,1.02,11000.0,17000.0
S7020 CB/P4A,100.0,150.0,24.0,29.6,27.0,1.02,11000.0,
7020 ACE/HCP4A,100.0,150.0,24.0,42.3,38.0,1.04,12700.0,20000.0
7020 ACE/HCP4AH1,100.0,150.0,24.0,42.3,38.0,1.04,12700.0,20000.0
7020 ACE/HCP4AL,100.0,150.0,24.0,42.3,38.0,1.04,12700.0,20000.0
7020 ACE/HCP4AL1,100.0,150.0,24.0,42.3,38.0,1.04,12700.0,20000.0
7020 ACE/HCP4BVG275,100.0,150.0,24.0,42.3,38.0,1.04,12700.0,
S7020 ACE/HCP4A,100.0,150.0,24.0,42.3,38.0,1.04,12700.0,
S7020 ACE/HCP4BVG275,100.0,150.0,24.0,42.3,38.0,1.04,12700.0,
7020 ACE/P4A,100.0,150.0,24.0,42.3,38.0,1.43,11200.0,17500.0
7020 ACE/P4AH1,100.0,150.0,24.0,42.3,38.0,1.43,11200.0,17500.0
7020 ACE/P4AL,100.0,150.0,24.0,42.3,38.0,1.43,11200.0,17500.0
7020 ACE/P4AL1,100.0,150.0,24.0,42.3,38.0,1.43,11200.0,17500.0
7020 ACE/P4BVG275,100.0,150.0,24.0,42.3,38.0,1.43,11200.0,
S7020 ACE/P4A,100.0,150.0,24.0,42.3,38.0,1.43,11200.0,
S7020 ACE/P4BVG275,100.0,150.0,24.0,42.3,38.0,1.43,11200.0,
7020 CE/HCP4A,100.0,150.0,24.0,44.9,40.0,1.1,14500.0,22000.0
7020 CE/HCP4AH1,100.0,150.0,24.0,44.9,40.0,1.1,14500.0,22000.0
7020 CE/HCP4AL,100.0,150.0,24.0,44.9,40.0,1.1,14500.0,22000.0
7020 CE/HCP4AL1,100.0,150.0,24.0,44.9,40.0,1.1,14500.0,22000.0
7020 CE/HCP4BVG275,100.0,150.0,24.0,44.9,40.0,1.1,14500.0,
S7020 CE/HCP4A,100.0,150.0,24.0,44.9,40.0,1.1,14500.0,
S7020 CE/HCP4BVG275,100.0,150.0,24.0,44.9,40.0,1.1,14500.0,
7020 CE/P4A,100.0,150.0,24.0,44.9,40.0,1.5,12300.0,19000.0
7020 CE/P4AH1,100.0,150.0,24.0,44.9,40.0,1.5,12300.0,19000.0
7020 CE/P4AL,100.0,150.0,24.0,44.9,40.0,1.5,12300.0,19000.0
7020 CE/P4AL1,100.0,150.0,24.0,44.9,40.0,1.5,12300.0,19000.0
7020 CE/P4BVG275,100.0,150.0,24.0,44.9,40.0,1.5,12300.0,
S7020 CE/P4A,100.0,150.0,24.0,44.9,40.0,1.5,12300.0,
S7020 CE/P4BVG275,100.0,150.0,24.0,44.9,40.0,1.5,12300.0,
7020 ACD/HCP4A,100.0,150.0,24.0,79.3,80.0,2.24,9500.0,15000.0
7020 ACD/HCP4AH1,100.0,150.0,24.0,79.3,80.0,2.24,9500.0,15000.0
7020 ACD/HCP4AL,100.0,150.0,24.0,79.3,80.0,2.24,9500.0,15000.0
7020 ACDTP/HCP4B,100.0,150.0,24.0,79.3,80.0,2.24,9500.0,
S7020 ACD/HCP4A,100.0,150.0,24.0,79.3,80.0,2.24,9500.0,
S7020 ACDTP/HCP4B,100.0,150.0,24.0,79.3,80.0,2.24,9500.0,
7020 ACD/P4A,100.0,150.0,24.0,79.3,80.0,3.05,8000.0,12000.0
7020 ACD/P4AH1,100.0,150.0,24.0,79.3,80.0,3.05,8000.0,12000.0
7020 ACD/P4AL,100.0,150.0,24.0,79.3,80.0,3.05,8000.0,12000.0
7020 ACDTP/P4B,100.0,150.0,24.0,79.3,80.0,3.05,8000.0,
S7020 ACD/P4A,100.0,150.0,24.0,79.3,80.0,3.05,8000.0,
S7020 ACDTP/P4B,100.0,150.0,24.0,79.3,80.0,3.05,8000.0,
7020 CD/HCP4AH1,100.0,150.0,24.0,83.2,85.0,2.36,10000.0,16000.0
7020 CD/HCP4AL,100.0,150.0,24.0,83.2,85.0,2.36,10000.0,16000.0
7020 CDTP/HCP4B,100.0,150.0,24.0,83.2,85.0,2.36,10000.0,
S7020 CD/HCP4A,100.0,150.0,24.0,83.2,85.0,2.36,10000.0,
S7020 CDTP/HCP4B,100.0,150.0,24.0,83.2,85.0,2.36,10000.0,
7020 CD/P4A,100.0,150.0,24.0,83.2,85.0,3.2,8500.0,14000.0
7020 CD/P4AH1,100.0,150.0,24.0,83.2,85.0,3.2,8500.0,14000.0
7020 CD/P4AL,100.0,150.0,24.0,83.2,85.0,3.2,8500.0,14000.0
7020 CDTP/P4B,100.0,150.0,24.0,83.2,85.0,3.2,8500.0,
S7020 CD/P4A,100.0,150.0,24.0,83.2,85.0,3.2,8500.0,
S7020 CDTP/P4B,100.0,150.0,24.0,83.2,85.0,3.2,8500.0,
7220 ACD/HCP4A,100.0,180.0,34.0,148.0,129.0,3.4,8000.0,13000.0
7220 ACD/P4A,100.0,180.0,34.0,148.0,129.0,4.65,7000.0,11000.0
7220 CD/HCP4A,100.0,180.0,34.0,156.0,137.0,3.55,9000.0,14000.0
7220 CD/P4A,100.0,180.0,34.0,156.0,137.0,4.9,7500.0,12000.0
71821 ACD/HCP4,105.0,130.0,13.0,21.6,28.5,0.815,9500.0,15000.0
71821 ACD/P4,105.0,130.0,13.0,21.6,28.5,1.1,8000.0,12000.0
71821 CD/HCP4,105.0,130.0,13.0,22.9,30.0,0.865,11000.0,16000.0
71821 CD/P4,105.0,130.0,13.0,22.9,30.0,1.18,9000.0,14000.0
71921 ACD/HCP4A,105.0,145.0,20.0,57.2,65.5,1.8,9000.0,15000.0
71921 ACD/HCP4AH1,105.0,145.0,20.0,57.2,65.5,1.8,9000.0,15000.0
71921 ACD/HCP4AL,105.0,145.0,20.0,57.2,65.5,1.8,9000.0,15000.0
S71921 ACD/HCP4A,105.0,145.0,20.0,57.2,65.5,1.8,9000.0,
71921 ACD/P4A,105.0,145.0,20.0,57.2,65.5,2.5,7500.0,12000.0
71921 ACD/P4AH1,105.0,145.0,20.0,57.2,65.5,2.5,7500.0,12000.0
71921 ACD/P4AL,105.0,145.0,20.0,57.2,65.5,2.5,7500.0,12000.0
S71921 ACD/P4A,105.0,145.0,20.0,57.2,65.5,2.5,7500.0,
71921 CD/HCP4A,105.0,145.0,20.0,61.8,69.5,1.9,10000.0,16000.0
71921 CD/HCP4AH1,105.0,145.0,20.0,61.8,69.5,1.9,10000.0,16000.0
71921 CD/HCP4AL,105.0,145.0,20.0,61.8,69.5,1.9,10000.0,16000.0
S71921 CD/HCP4A,105.0,145.0,20.0,61.8,69.5,1.9,10000.0,
71921 CD/P4AH1,105.0,145.0,20.0,61.8,69.5,2.6,8500.0,14000.0
71921 CD/P4AL,105.0,145.0,20.0,61.8,69.5,2.6,8500.0,14000.0
S71921 CD/P4A,105.0,145.0,20.0,61.8,69.5,2.6,8500.0,
7021 ACD/HCP4A,105.0,160.0,26.0,90.4,93.0,2.5,9000.0,14000.0
7021 ACD/HCP4AH1,105.0,160.0,26.0,90.4,93.0,2.5,9000.0,14000.0
7021 ACD/HCP4AL,105.0,160.0,26.0,90.4,93.0,2.5,9000.0,14000.0
S7021 ACD/HCP4A,105.0,160.0,26.0,90.4,93.0,2.5,9000.0,
7021 ACD/P4A,105.0,160.0,26.0,90.4,93.0,3.4,7500.0,12000.0
7021 ACD/P4AH1,105.0,160.0,26.0,90.4,93.0,3.4,7500.0,12000.0
7021 ACD/P4AL,105.0,160.0,26.0,90.4,93.0,3.4,7500.0,12000.0
S7021 ACD/P4A,105.0,160.0,26.0,90.4,93.0,3.4,7500.0,
7021 CD/HCP4A,105.0,160.0,26.0,95.6,96.5,2.6,10000.0,15000.0
7021 CD/HCP4AH1,105.0,160.0,26.0,95.6,96.5,2.6,10000.0,15000.0
7021 CD/HCP4AL,105.0,160.0,26.0,95.6,96.5,2.6,10000.0,15000.0
S7021 CD/HCP4A,105.0,160.0,26.0,95.6,96.5,2.6,10000.0,
7021 CD/P4A,105.0,160.0,26.0,95.6,96.5,3.6,8000.0,13000.0
7021 CD/P4AH1,105.0,160.0,26.0,95.6,96.5,3.6,8000.0,13000.0
7021 CD/P4AL,105.0,160.0,26.0,95.6,96.5,3.6,8000.0,13000.0
S7021 CD/P4A,105.0,160.0,26.0,95.6,96.5,3.6,8000.0,
7221 ACD/HCP4A,105.0,190.0,36.0,163.0,146.0,3.75,7500.0,12000.0
7221 ACD/P4A,105.0,190.0,36.0,163.0,146.0,5.1,6700.0,10000.0
7221 CD/HCP4A,105.0,190.0,36.0,172.0,153.0,3.9,9000.0,14000.0
7221 CD/P4A,105.0,190.0,36.0,172.0,153.0,5.3,7500.0,12000.0
71822 ACD/HCP4,110.0,140.0,16.0,30.2,38.0,1.06,9000.0,14000.0
71822 ACD/P4,110.0,140.0,16.0,30.2,38.0,1.46,7500.0,12000.0
71822 CD/HCP4,110.0,140.0,16.0,31.9,40.5,1.12,10000.0,15000.0
71822 CD/P4,110.0,140.0,16.0,31.9,40.5,1.53,8000.0,13000.0
71922 ACB/HCP4A,110.0,150.0,20.0,24.7,25.5,0.695,12000.0,19000.0
71922 ACB/HCP4AL,110.0,150.0,20.0,24.7,25.5,0.695,12000.0,19000.0
S71922 ACB/HCP4A,110.0,150.0,20.0,24.7,25.5,0.695,12000.0,
71922 ACB/P4A,110.0,150.0,20.0,24.7,25.5,0.95,10000.0,15000.0
71922 ACB/P4AL,110.0,150.0,20.0,24.7,25.5,0.95,10000.0,15000.0
S71922 ACB/P4A,110.0,150.0,20.0,24.7,25.5,0.95,10000.0,
71922 CB/HCP4A,110.0,150.0,20.0,26.0,27.0,0.735,14000.0,22000.0
71922 CB/HCP4AL,110.0,150.0,20.0,26.0,27.0,0.735,14000.0,22000.0
S71922 CB/HCP4A,110.0,150.0,20.0,26.0,27.0,0.735,14000.0,
71922 CB/P4A,110.0,150.0,20.0,26.0,27.0,1.02,11000.0,17000.0
71922 CB/P4AL,110.0,150.0,20.0,26.0,27.0,1.02,11000.0,17000.0
S71922 CB/P4A,110.0,150.0,20.0,26.0,27.0,1.02,11000.0,
71922 ACE/P4A,110.0,150.0,20.0,37.7,32.5,1.18,10300.0,16000.0
71922 ACE/P4AH1,110.0,150.0,20.0,37.7,32.5,1.18,10300.0,16000.0
71922 ACE/P4AL,110.0,150.0,20.0,37.7,32.5,1.18,10300.0,16000.0
S71922 ACE/P4A,110.0,150.0,20.0,37.7,32.5,1.18,10300.0,
71922 ACE/HCP4A,110.0,150.0,20.0,37.7,32.5,1.18,12300.0,19000.0
71922 ACE/HCP4AH1,110.0,150.0,20.0,37.7,32.5,1.18,12300.0,19000.0
71922 ACE/HCP4AL,110.0,150.0,20.0,37.7,32.5,1.18,12300.0,19000.0
S71922 ACE/HCP4A,110.0,150.0,20.0,37.7,32.5,1.18,12300.0,
71922 CE/P4A,110.0,150.0,20.0,39.7,34.5,1.25,12000.0,18000.0
71922 CE/P4AH1,110.0,150.0,20.0,39.7,34.5,1.25,12000.0,18000.0
71922 CE/P4AL,110.0,150.0,20.0,39.7,34.5,1.25,12000.0,18000.0
S71922 CE/P4A,110.0,150.0,20.0,39.7,34.5,1.25,12000.0,
71922 CE/HCP4A,110.0,150.0,20.0,39.7,34.5,1.25,14000.0,22000.0
71922 CE/HCP4AH1,110.0,150.0,20.0,39.7,34.5,1.25,14000.0,22000.0
71922 CE/HCP4AL,110.0,150.0,20.0,39.7,34.5,1.25,14000.0,22000.0
S71922 CE/HCP4A,110.0,150.0,20.0,39.7,34.5,1.25,14000.0,
71922 ACD/HCP4A,110.0,150.0,20.0,58.5,68.0,1.86,8500.0,14000.0
71922 ACD/HCP4AH1,110.0,150.0,20.0,58.5,68.0,1.86,8500.0,14000.0
71922 ACD/HCP4AL,110.0,150.0,20.0,58.5,68.0,1.86,8500.0,14000.0
S71922 ACD/HCP4A,110.0,150.0,20.0,58.5,68.0,1.86,8500.0,
71922 ACD/P4A,110.0,150.0,20.0,58.5,68.0,2.55,7500.0,12000.0
71922 ACD/P4AH1,110.0,150.0,20.0,58.5,68.0,2.55,7500.0,12000.0
71922 ACD/P4AL,110.0,150.0,20.0,58.5,68.0,2.55,7500.0,12000.0
S71922 ACD/P4A,110.0,150.0,20.0,58.5,68.0,2.55,7500.0,
71922 CD/HCP4A,110.0,150.0,20.0,62.4,72.0,1.96,10000.0,16000.0
71922 CD/HCP4AH1,110.0,150.0,20.0,62.4,72.0,1.96,10000.0,16000.0
71922 CD/HCP4AL,110.0,150.0,20.0,62.4,72.0,1.96,10000.0,16000.0
S71922 CD/HCP4A,110.0,150.0,20.0,62.4,72.0,1.96,10000.0,
71922 CD/P4A,110.0,150.0,20.0,62.4,72.0,2.7,8000.0,13000.0
71922 CD/P4AH1,110.0,150.0,20.0,62.4,72.0,2.7,8000.0,13000.0
71922 CD/P4AL,110.0,150.0,20.0,62.4,72.0,2.7,8000.0,13000.0
S71922 CD/P4A,110.0,150.0,20.0,62.4,72.0,2.7,8000.0,
7022 ACB/HCP4A,110.0,170.0,28.0,35.1,34.0,0.9,11000.0,16000.0
7022 ACB/HCP4AL,110.0,170.0,28.0,35.1,34.0,0.9,11000.0,16000.0
S7022 ACB/HCP4A,110.0,170.0,28.0,35.1,34.0,0.9,11000.0,
7022 ACB/P4A,110.0,170.0,28.0,35.1,34.0,1.22,9000.0,14000.0
7022 ACB/P4AL,110.0,170.0,28.0,35.1,34.0,1.22,9000.0,14000.0
S7022 ACB/P4A,110.0,170.0,28.0,35.1,34.0,1.22,9000.0,
7022 CB/HCP4A,110.0,170.0,28.0,37.1,36.0,0.95,12000.0,19000.0
7022 CB/HCP4AL,110.0,170.0,28.0,37.1,36.0,0.95,12000.0,19000.0
S7022 CB/HCP4A,110.0,170.0,28.0,37.1,36.0,0.95,12000.0,
7022 CB/P4A,110.0,170.0,28.0,37.1,36.0,1.29,10000.0,16000.0
7022 CB/P4AL,110.0,170.0,28.0,37.1,36.0,1.29,10000.0,16000.0
S7022 CB/P4A,110.0,170.0,28.0,37.1,36.0,1.29,10000.0,
7022 ACE/HCP4A,110.0,170.0,28.0,44.9,42.5,1.12,11500.0,17500.0
7022 ACE/HCP4AH1,110.0,170.0,28.0,44.9,42.5,1.12,11500.0,17500.0
7022 ACE/HCP4AL,110.0,170.0,28.0,44.9,42.5,1.12,11500.0,17500.0
7022 ACE/HCP4AL1,110.0,170.0,28.0,44.9,42.5,1.12,11500.0,17500.0
S7022 ACE/HCP4A,110.0,170.0,28.0,44.9,42.5,1.12,11500.0,
7022 ACE/P4A,110.0,170.0,28.0,44.9,42.5,1.53,10000.0,15500.0
7022 ACE/P4AH1,110.0,170.0,28.0,44.9,42.5,1.53,10000.0,15500.0
7022 ACE/P4AL,110.0,170.0,28.0,44.9,42.5,1.53,10000.0,15500.0
7022 ACE/P4AL1,110.0,170.0,28.0,44.9,42.5,1.53,10000.0,15500.0
S7022 ACE/P4A,110.0,170.0,28.0,44.9,42.5,1.53,10000.0,
7022 CE/HCP4A,110.0,170.0,28.0,47.5,45.0,1.18,12700.0,20000.0
7022 CE/HCP4AH1,110.0,170.0,28.0,47.5,45.0,1.18,12700.0,20000.0
7022 CE/HCP4AL,110.0,170.0,28.0,47.5,45.0,1.18,12700.0,20000.0
7022 CE/HCP4AL1,110.0,170.0,28.0,47.5,45.0,1.18,12700.0,20000.0
S7022 CE/HCP4A,110.0,170.0,28.0,47.5,45.0,1.18,12700.0,
7022 CE/P4A,110.0,170.0,28.0,47.5,45.0,1.6,10900.0,17000.0
7022 CE/P4AH1,110.0,170.0,28.0,47.5,45.0,1.6,10900.0,17000.0
7022 CE/P4AL,110.0,170.0,28.0,47.5,45.0,1.6,10900.0,17000.0
7022 CE/P4AL1,110.0,170.0,28.0,47.5,45.0,1.6,10900.0,17000.0
S7022 CE/P4A,110.0,170.0,28.0,47.5,45.0,1.6,10900.0,
7022 ACD/HCP4A,110.0,170.0,28.0,104.0,104.0,2.7,8500.0,13000.0
7022 ACD/HCP4AH1,110.0,170.0,28.0,104.0,104.0,2.7,8500.0,13000.0
7022 ACD/HCP4AL,110.0,170.0,28.0,104.0,104.0,2.7,8500.0,13000.0
7022 ACDTP/HCP4B,110.0,170.0,28.0,104.0,104.0,2.7,8500.0,
S7022 ACD/HCP4A,110.0,170.0,28.0,104.0,104.0,2.7,8500.0,
S7022 ACDTP/HCP4B,110.0,170.0,28.0,104.0,104.0,2.7,8500.0,
7022 ACD/P4A,110.0,170.0,28.0,104.0,104.0,3.75,7000.0,11000.0
7022 ACD/P4AH1,110.0,170.0,28.0,104.0,104.0,3.75,7000.0,11000.0
7022 ACD/P4AL,110.0,170.0,28.0,104.0,104.0,3.75,7000.0,11000.0
7022 ACDTP/P4B,110.0,170.0,28.0,104.0,104.0,3.75,7000.0,
S7022 ACD/P4A,110.0,170.0,28.0,104.0,104.0,3.75,7000.0,
S7022 ACDTP/P4B,110.0,170.0,28.0,104.0,104.0,3.75,7000.0,
7022 CD/HCP4A,110.0,170.0,28.0,111.0,108.0,2.85,9500.0,14000.0
7022 CD/HCP4AH1,110.0,170.0,28.0,111.0,108.0,2.85,9500.0,14000.0
7022 CD/HCP4AL,110.0,170.0,28.0,111.0,108.0,2.85,9500.0,14000.0
7022 CDTP/HCP4B,110.0,170.0,28.0,111.0,108.0,2.85,9500.0,
S7022 CD/HCP4A,110.0,170.0,28.0,111.0,108.0,2.85,9500.0,
S7022 CDTP/HCP4B,110.0,170.0,28.0,111.0,108.0,2.85,9500.0,
7022 CD/P4A,110.0,170.0,28.0,111.0,108.0,3.9,7500.0,12000.0
7022 CD/P4AH1,110.0,170.0,28.0,111.0,108.0,3.9,7500.0,12000.0
7022 CD/P4AL,110.0,170.0,28.0,111.0,108.0,3.9,7500.0,12000.0
7022 CDTP/P4B,110.0,170.0,28.0,111.0,108.0,3.9,7500.0,
S7022 CD/P4A,110.0,170.0,28.0,111.0,108.0,3.9,7500.0,
S7022 CDTP/P4B,110.0,170.0,28.0,111.0,108.0,3.9,7500.0,
7222 ACD/HCP4A,110.0,200.0,38.0,168.0,160.0,3.9,7500.0,12000.0
7222 ACD/P4A,110.0,200.0,38.0,168.0,160.0,5.4,6700.0,10000.0
7222 CD/HCP4A,110.0,200.0,38.0,178.0,166.0,4.15,8500.0,13000.0
7222 CD/P4A,110.0,200.0,38.0,178.0,166.0,5.6,7000.0,11000.0
71824 ACD/HCP4,120.0,150.0,16.0,31.2,42.5,1.12,8000.0,13000.0
71824 ACD/P4,120.0,150.0,16.0,31.2,42.5,1.53,6700.0,11000.0
71824 CD/HCP4,120.0,150.0,16.0,33.2,45.0,1.18,9000.0,14000.0
71824 CD/P4,120.0,150.0,16.0,33.2,45.0,1.63,7500.0,12000.0
71924 ACB/HCP4A,120.0,165.0,22.0,25.5,28.5,0.735,11000.0,17000.0
71924 ACB/HCP4AL,120.0,165.0,22.0,25.5,28.5,0.735,11000.0,17000.0
S71924 ACB/HCP4A,120.0,165.0,22.0,25.5,28.5,0.735,11000.0,
71924 ACB/P4A,120.0,165.0,22.0,25.5,28.5,1.02,9000.0,14000.0
71924 ACB/P4AL,120.0,165.0,22.0,25.5,28.5,1.02,9000.0,14000.0
S71924 ACB/P4A,120.0,165.0,22.0,25.5,28.5,1.02,9000.0,
71924 CB/HCP4A,120.0,165.0,22.0,27.0,30.5,0.78,12000.0,20000.0
71924 CB/HCP4AL,120.0,165.0,22.0,27.0,30.5,0.78,12000.0,20000.0
S71924 CB/HCP4A,120.0,165.0,22.0,27.0,30.5,0.78,12000.0,
71924 CB/P4A,120.0,165.0,22.0,27.0,30.5,1.08,10000.0,16000.0
71924 CB/P4AL,120.0,165.0,22.0,27.0,30.5,1.08,10000.0,16000.0
S71924 CB/P4A,120.0,165.0,22.0,27.0,30.5,1.08,10000.0,
71924 ACE/P4A,120.0,165.0,22.0,44.9,38.0,1.32,9500.0,15000.0
71924 ACE/P4AH1,120.0,165.0,22.0,44.9,38.0,1.32,9500.0,15000.0
71924 ACE/P4AL,120.0,165.0,22.0,44.9,38.0,1.32,9500.0,15000.0
S71924 ACE/P4A,120.0,165.0,22.0,44.9,38.0,1.32,9500.0,
71924 ACE/HCP4A,120.0,165.0,22.0,44.9,38.0,1.32,11500.0,17500.0
71924 ACE/HCP4AH1,120.0,165.0,22.0,44.9,38.0,1.32,11500.0,17500.0
71924 ACE/HCP4AL,120.0,165.0,22.0,44.9,38.0,1.32,11500.0,17500.0
S71924 ACE/HCP4A,120.0,165.0,22.0,44.9,38.0,1.32,11500.0,
71924 CE/P4A,120.0,165.0,22.0,47.5,40.5,1.4,11200.0,16000.0
71924 CE/P4AH1,120.0,165.0,22.0,47.5,40.5,1.4,11200.0,16000.0
71924 CE/P4AL,120.0,165.0,22.0,47.5,40.5,1.4,11200.0,16000.0
S71924 CE/P4A,120.0,165.0,22.0,47.5,40.5,1.4,11200.0,
71924 CE/HCP4A,120.0,165.0,22.0,47.5,40.5,1.4,12700.0,19000.0
71924 CE/HCP4AH1,120.0,165.0,22.0,47.5,40.5,1.4,12700.0,19000.0
71924 CE/HCP4AL,120.0,165.0,22.0,47.5,40.5,1.4,12700.0,19000.0
S71924 CE/HCP4A,120.0,165.0,22.0,47.5,40.5,1.4,12700.0,
71924 ACD/HCP4A,120.0,165.0,22.0,72.8,86.5,2.24,8000.0,13000.0
71924 ACD/HCP4AH1,120.0,165.0,22.0,72.8,86.5,2.24,8000.0,13000.0
71924 ACD/HCP4AL,120.0,165.0,22.0,72.8,86.5,2.24,8000.0,13000.0
S71924 ACD/HCP4A,120.0,165.0,22.0,72.8,86.5,2.24,8000.0,
71924 ACD/P4A,120.0,165.0,22.0,72.8,86.5,3.05,7000.0,11000.0
71924 ACD/P4AH1,120.0,165.0,22.0,72.8,86.5,3.05,7000.0,11000.0
71924 ACD/P4AL,120.0,165.0,22.0,72.8,86.5,3.05,7000.0,11000.0
S71924 ACD/P4A,120.0,165.0,22.0,72.8,86.5,3.05,7000.0,
71924 CD/HCP4A,120.0,165.0,22.0,78.0,91.5,2.36,9000.0,14000.0
71924 CD/HCP4AH1,120.0,165.0,22.0,78.0,91.5,2.36,9000.0,14000.0
71924 CD/HCP4AL,120.0,165.0,22.0,78.0,91.5,2.36,9000.0,14000.0
S71924 CD/HCP4A,120.0,165.0,22.0,78.0,91.5,2.36,9000.0,
71924 CD/P4A,120.0,165.0,22.0,78.0,91.5,3.25,7500.0,12000.0
