Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
7013 CE/P4BVG275,65.0,100.0,18.0,20.3,15.6,0.655,19000.0,
S7013 CE/P4A,65.0,100.0,18.0,20.3,15.6,0.655,19000.0,
S7013 CE/P4BVG275,65.0,100.0,18.0,20.3,15.6,0.655,19000.0,
7013 ACD/HCP4A,65.0,100.0,18.0,39.0,35.5,1.1,15000.0,22000.0
7013 ACD/HCP4AH1,65.0,100.0,18.0,39.0,35.5,1.1,15000.0,22000.0
7013 ACD/HCP4AL,65.0,100.0,18.0,39.0,35.5,1.1,15000.0,22000.0
S7013 ACD/HCP4A,65.0,100.0,18.0,39.0,35.5,1.1,15000.0,
7013 ACD/P4A,65.0,100.0,18.0,39.0,35.5,1.5,12000.0,19000.0
7013 ACD/P4AH1,65.0,100.0,18.0,39.0,35.5,1.5,12000.0,19000.0
7013 ACD/P4AL,65.0,100.0,18.0,39.0,35.5,1.5,12000.0,19000.0
S7013 ACD/P4A,65.0,100.0,18.0,39.0,35.5,1.5,12000.0,
7013 CD/HCP4A,65.0,100.0,18.0,41.6,37.5,1.16,16000.0,24000.0
7013 CD/HCP4AH1,65.0,100.0,18.0,41.6,37.5,1.16,16000.0,24000.0
7013 CD/HCP4AL,65.0,100.0,18.0,41.6,37.5,1.16,16000.0,24000.0
S7013 CD/HCP4A,65.0,100.0,18.0,41.6,37.5,1.16,16000.0,
7013 CD/P4A,65.0,100.0,18.0,41.6,37.5,1.6,14000.0,22000.0
7013 CD/P4AH1,65.0,100.0,18.0,41.6,37.5,1.6,14000.0,22000.0
7013 CD/P4AL,65.0,100.0,18.0,41.6,37.5,1.6,14000.0,22000.0
S7013 CD/P4A,65.0,100.0,18.0,41.6,37.5,1.6,14000.0,
7213 ACD/HCP4A,65.0,120.0,23.0,63.7,51.0,1.6,13000.0,20000.0
S7213 ACD/HCP4A,65.0,120.0,23.0,63.7,51.0,1.6,13000.0,
7213 ACD/P4A,65.0,120.0,23.0,63.7,51.0,2.2,10000.0,17000.0
S7213 ACD/P4A,65.0,120.0,23.0,63.7,51.0,2.2,10000.0,
7213 CD/HCP4A,65.0,120.0,23.0,66.3,53.0,1.66,15000.0,22000.0
S7213 CD/HCP4A,65.0,120.0,23.0,66.3,53.0,1.66,15000.0,
7213 CD/P4A,65.0,120.0,23.0,66.3,53.0,2.28,12000.0,19000.0
S7213 CD/P4A,65.0,120.0,23.0,66.3,53.0,2.28,12000.0,
71814 ACD/HCP4,70.0,90.0,10.0,13.0,15.0,0.465,15000.0,24000.0
71814 ACD/P4,70.0,90.0,10.0,13.0,15.0,0.64,13000.0,19000.0
71814 CD/HCP4,70.0,90.0,10.0,13.8,16.0,0.49,17000.0,26000.0
71814 CD/P4,70.0,90.0,10.0,13.8,16.0,0.67,14000.0,22000.0
71914 ACB/HCP4A,70.0,100.0,16.0,13.0,11.8,0.36,19000.0,30000.0
71914 ACB/HCP4AL,70.0,100.0,16.0,13.0,11.8,0.36,19000.0,30000.0
S71914 ACB/HCP4A,70.0,100.0,16.0,13.0,11.8,0.36,19000.0,
71914 ACB/P4A,70.0,100.0,16.0,13.0,11.8,0.5,16000.0,24000.0
71914 ACB/P4AL,70.0,100.0,16.0,13.0,11.8,0.5,16000.0,24000.0
S71914 ACB/P4A,70.0,100.0,16.0,13.0,11.8,0.5,16000.0,
71914 CB/HCP4A,70.0,100.0,16.0,13.8,12.5,0.38,22000.0,32000.0
71914 CB/HCP4AL,70.0,100.0,16.0,13.8,12.5,0.38,22000.0,32000.0
S71914 CB/HCP4A,70.0,100.0,16.0,13.8,12.5,0.38,22000.0,
71914 CB/P4A,70.0,100.0,16.0,13.8,12.5,0.53,18000.0,28000.0
71914 CB/P4AL,70.0,100.0,16.0,13.8,12.5,0.53,18000.0,28000.0
S71914 CB/P4A,70.0,100.0,16.0,13.8,12.5,0.53,18000.0,
71914 ACE/P4A,70.0,100.0,16.0,20.8,15.3,0.655,16500.0,26000.0
71914 ACE/P4AH1,70.0,100.0,16.0,20.8,15.3,0.655,16500.0,26000.0
71914 ACE/P4AL,70.0,100.0,16.0,20.8,15.3,0.655,16500.0,26000.0
S71914 ACE/P4A,70.0,100.0,16.0,20.8,15.3,0.655,16500.0,
71914 ACE/HCP4A,70.0,100.0,16.0,20.8,15.3,0.655,20000.0,31000.0
71914 ACE/HCP4AH1,70.0,100.0,16.0,20.8,15.3,0.655,20000.0,31000.0
71914 ACE/HCP4AL,70.0,100.0,16.0,20.8,15.3,0.655,20000.0,31000.0
S71914 ACE/HCP4A,70.0,100.0,16.0,20.8,15.3,0.655,20000.0,
71914 CE/P4A,70.0,100.0,16.0,22.1,16.3,0.68,18500.0,28000.0
71914 CE/P4AH1,70.0,100.0,16.0,22.1,16.3,0.68,18500.0,28000.0
71914 CE/P4AL,70.0,100.0,16.0,22.1,16.3,0.68,18500.0,28000.0
S71914 CE/P4A,70.0,100.0,16.0,22.1,16.3,0.68,18500.0,
71914 CE/HCP4A,70.0,100.0,16.0,22.1,16.3,0.68,22000.0,34000.0
71914 CE/HCP4AH1,70.0,100.0,16.0,22.1,16.3,0.68,22000.0,34000.0
71914 CE/HCP4AL,70.0,100.0,16.0,22.1,16.3,0.68,22000.0,34000.0
S71914 CE/HCP4A,70.0,100.0,16.0,22.1,16.3,0.68,22000.0,
71914 ACD/HCP4A,70.0,100.0,16.0,32.5,32.5,1.0,14000.0,22000.0
71914 ACD/HCP4AH1,70.0,100.0,16.0,32.5,32.5,1.0,14000.0,22000.0
71914 ACD/HCP4AL,70.0,100.0,16.0,32.5,32.5,1.0,14000.0,22000.0
S71914 ACD/HCP4A,70.0,100.0,16.0,32.5,32.5,1.0,14000.0,
